========================================================================
 Historical NCAAB Odds Fetcher
========================================================================
 Season: 2024 (2023-11-01 to 2024-04-30)
 March Madness window: 2024-03-15 to 2024-04-08
 Bookmakers: all
 Markets: spreads,totals,spreads_h1,totals_h1,h2h
 Job ID: o4
 Source: The Odds API (https://the-odds-api.com)
========================================================================

[INFO] Fetching 2023-11-01...
  [API] Requests remaining: 23357593
  Found 2 events
    Tennessee Tech Golden Eagles @ Tennessee Volunteers (betus): spread=-32.5, total=134.5, h1_spread=-19.5, h1_total=63.5
    Tennessee Tech Golden Eagles @ Tennessee Volunteers (superbook): spread=-32.5, total=134.5, h1_spread=None, h1_total=None
    Tennessee Tech Golden Eagles @ Tennessee Volunteers (betmgm): spread=None, total=134.5, h1_spread=-19.5, h1_total=62.5
    Chicago St Cougars @ Bowling Green Falcons (draftkings): spread=-7.0, total=146.0, h1_spread=-4.0, h1_total=69.0
    Chicago St Cougars @ Bowling Green Falcons (pointsbetus): spread=-6.5, total=146.5, h1_spread=None, h1_total=None
    Chicago St Cougars @ Bowling Green Falcons (betrivers): spread=-7.0, total=145.5, h1_spread=-4.0, h1_total=None
    Chicago St Cougars @ Bowling Green Falcons (twinspires): spread=-7.0, total=145.5, h1_spread=None, h1_total=None
    Chicago St Cougars @ Bowling Green Falcons (unibet_us): spread=-7.0, total=145.5, h1_spread=-4.0, h1_total=None
    Chicago St Cougars @ Bowling Green Falcons (barstool): spread=-7.5, total=146.5, h1_spread=-4.5, h1_total=None
    Chicago St Cougars @ Bowling Green Falcons (fanduel): spread=-8.5, total=146.5, h1_spread=-4.5, h1_total=69.5
    Chicago St Cougars @ Bowling Green Falcons (lowvig): spread=-7.0, total=146.5, h1_spread=None, h1_total=None
    Chicago St Cougars @ Bowling Green Falcons (bovada): spread=-6.5, total=146.5, h1_spread=-4.0, h1_total=69.0
    Chicago St Cougars @ Bowling Green Falcons (williamhill_us): spread=-6.5, total=146.0, h1_spread=-4.0, h1_total=69.0
    Chicago St Cougars @ Bowling Green Falcons (superbook): spread=-7.0, total=146.0, h1_spread=None, h1_total=None
    Chicago St Cougars @ Bowling Green Falcons (betmgm): spread=-7.5, total=146.5, h1_spread=None, h1_total=None
    Brown Bears @ Colgate Raiders (draftkings): spread=-6.5, total=149.0, h1_spread=-4.0, h1_total=70.5
