========================================================================
 Historical NCAAB Odds Fetcher
========================================================================
 Season: 2025 (2024-11-01 to 2025-04-30)
 March Madness window: 2025-03-15 to 2025-04-08
 Bookmakers: all
 Markets: spreads,totals,spreads_h1,totals_h1,h2h
 Job ID: o5
 Source: The Odds API (https://the-odds-api.com)
========================================================================

[INFO] Fetching 2024-11-01...
  [API] Requests remaining: 23357592
  Found 7 events
    Missouri St Bears @ Butler Bulldogs (lowvig): spread=-17.0, total=140.5, h1_spread=None, h1_total=None
    Missouri St Bears @ Butler Bulldogs (betmgm): spread=-16.5, total=140.5, h1_spread=None, h1_total=66.5
    Missouri St Bears @ Butler Bulldogs (betrivers): spread=-16.5, total=141.0, h1_spread=None, h1_total=None
    Missouri St Bears @ Butler Bulldogs (draftkings): spread=-17.0, total=140.5, h1_spread=-10.0, h1_total=66.0
    Missouri St Bears @ Butler Bulldogs (bovada): spread=-16.5, total=140.5, h1_spread=-9.5, h1_total=66.0
    Missouri St Bears @ Butler Bulldogs (betus): spread=-17.0, total=140.0, h1_spread=-9.5, h1_total=65.5
    Arkansas-Pine Bluff Golden Lions @ Cincinnati Bearcats (draftkings): spread=-37.0, total=151.0, h1_spread=-21.0, h1_total=72.0
    Arkansas-Pine Bluff Golden Lions @ Cincinnati Bearcats (fanduel): spread=-36.5, total=150.5, h1_spread=-21.5, h1_total=71.5
    Arkansas-Pine Bluff Golden Lions @ Cincinnati Bearcats (betmgm): spread=-36.5, total=149.5, h1_spread=None, h1_total=71.5
    Arkansas-Pine Bluff Golden Lions @ Cincinnati Bearcats (betrivers): spread=-36.5, total=152.0, h1_spread=None, h1_total=None
    Arkansas-Pine Bluff Golden Lions @ Cincinnati Bearcats (lowvig): spread=-37.0, total=151.0, h1_spread=None, h1_total=None
    Arkansas-Pine Bluff Golden Lions @ Cincinnati Bearcats (betonlineag): spread=-37.0, total=151.0, h1_spread=None, h1_total=None
    Arkansas-Pine Bluff Golden Lions @ Cincinnati Bearcats (bovada): spread=-36.5, total=151.0, h1_spread=-21.0, h1_total=72.0
    Maine Black Bears @ Duke Blue Devils (fanduel): spread=-32.5, total=138.5, h1_spread=-19.5, h1_total=64.5
    Maine Black Bears @ Duke Blue Devils (draftkings): spread=-32.5, total=139.5, h1_spread=-17.5, h1_total=66.0
    Maine Black Bears @ Duke Blue Devils (betmgm): spread=-32.5, total=139.5, h1_spread=None, h1_total=65.5
    Maine Black Bears @ Duke Blue Devils (betrivers): spread=-32.5, total=139.5, h1_spread=-17.5, h1_total=66.5
    Maine Black Bears @ Duke Blue Devils (lowvig): spread=-33.0, total=140.0, h1_spread=None, h1_total=None
    Maine Black Bears @ Duke Blue Devils (betonlineag): spread=-33.0, total=140.0, h1_spread=None, h1_total=None
    Maine Black Bears @ Duke Blue Devils (bovada): spread=-32.0, total=139.0, h1_spread=-18.0, h1_total=66.0
    Gardner-Webb Bulldogs @ Tennessee Volunteers (draftkings): spread=-27.5, total=141.5, h1_spread=-16.5, h1_total=67.5
    Gardner-Webb Bulldogs @ Tennessee Volunteers (fanduel): spread=-26.5, total=141.5, h1_spread=-16.5, h1_total=67.5
    Gardner-Webb Bulldogs @ Tennessee Volunteers (betmgm): spread=-27.5, total=140.5, h1_spread=None, h1_total=67.5
    Gardner-Webb Bulldogs @ Tennessee Volunteers (betrivers): spread=-27.0, total=141.5, h1_spread=None, h1_total=None
    Gardner-Webb Bulldogs @ Tennessee Volunteers (betonlineag): spread=-27.5, total=141.0, h1_spread=None, h1_total=None
    Gardner-Webb Bulldogs @ Tennessee Volunteers (lowvig): spread=-27.5, total=141.0, h1_spread=None, h1_total=None
    Gardner-Webb Bulldogs @ Tennessee Volunteers (bovada): spread=-27.5, total=142.5, h1_spread=-16.5, h1_total=67.5
    Wright St Raiders @ Kentucky Wildcats (fanduel): spread=-20.5, total=160.5, h1_spread=-12.5, h1_total=77.5
    Wright St Raiders @ Kentucky Wildcats (betrivers): spread=-21.0, total=160.5, h1_spread=None, h1_total=None
    Wright St Raiders @ Kentucky Wildcats (draftkings): spread=-21.5, total=161.0, h1_spread=-13.0, h1_total=77.0
    Wright St Raiders @ Kentucky Wildcats (betonlineag): spread=-21.5, total=161.0, h1_spread=-13.0, h1_total=77.0
    Wright St Raiders @ Kentucky Wildcats (lowvig): spread=-21.5, total=161.0, h1_spread=None, h1_total=None
    Wright St Raiders @ Kentucky Wildcats (betmgm): spread=-21.5, total=161.5, h1_spread=None, h1_total=77.5
